label,youtube_id,time_start,time_end,split,is_cc
abseiling,-Qhiiw9yJvc,825,835,train,0
abseiling,-tAjeaPhi5s,26,36,train,0
abseiling,-UAghPqLTBI,130,140,train,0
abseiling,-utJO7UasYE,122,132,train,0
abseiling,-w5zqLILMpI,163,173,train,0
abseiling,-WKCwDRp_jk,0,10,train,0
abseiling,-Z1X9B-F04Q,12,22,train,0
abseiling,-_VFi7OFbJY,64,74,train,0
abseiling,0347ZoDXyP0,95,105,train,0
abseiling,035LtPeUFTE,85,95,train,1
abseiling,03NbvjuSoxk,604,614,train,0
abseiling,0fBrAthmrNs,358,368,train,0
abseiling,0FsbjTIrBqw,286,296,train,0
abseiling,0KdQmAFyNXo,12,22,train,0
abseiling,0lPhr3f8_do,11,21,train,0
abseiling,0N3Jb5UHg8Y,68,78,train,0
abseiling,0pP5PNGEDi0,159,169,train,0
abseiling,0RuOAabG2-M,61,71,train,0
abseiling,0S2Es_AMbGI,15,25,train,0
abseiling,0s2mvbfzzyc,14,24,train,0
abseiling,0s9eFZZVXUU,30,40,train,0
abseiling,0UD6OoOFwqc,78,88,train,0
abseiling,0ULNkPOufBU,60,70,train,0
abseiling,0vhbg2mkBg4,0,10,train,0
abseiling,1-Sv4f4woCI,44,54,train,0
abseiling,13yHmtOlaUE,751,761,train,0
abseiling,15z2zWbH65Y,92,102,train,0
abseiling,1atkTs6LO6s,37,47,train,0
abseiling,1g7n_PZzkmg,0,10,train,1
abseiling,1GE07Avyy20,9,19,train,0
air drumming,-gw9DlQGiNo,11,21,train,0
air drumming,-kL508ohBoo,1,11,train,0
air drumming,-LVME0pkaW8,24,34,train,0
air drumming,-ni1UWaBmL0,56,66,train,0
air drumming,-rI2ZqZ5vH0,7,17,train,0
air drumming,-t7I9PRPwQI,5,15,train,0
air drumming,-tcD0doI-vo,1,11,train,0
air drumming,-tXuFVHvRdQ,118,128,train,0
air drumming,-U2frOP59dc,16,26,train,0
air drumming,-upUws2YqWk,7,17,train,0
air drumming,-VICCY1B1K0,10,20,train,0
air drumming,-VtLx-mcPds,12,22,train,0
air drumming,-_boW-NO5pU,117,127,train,0
air drumming,0-DC05gGzaI,2,12,train,0
air drumming,03V2idM7_KY,3,13,train,0
air drumming,0aidJ-1R7Ds,3,13,train,0
air drumming,0c1bhfxioqE,78,88,train,0
air drumming,0ETN_KBzW_c,56,66,train,0
air drumming,0H51IBy3ifA,169,179,train,0
air drumming,0hCz2sv1fnM,5,15,train,0
air drumming,0hsa-fjf_Wc,1,11,train,0
air drumming,0l92TkaFxbo,14,24,train,0
air drumming,0l9p2qfoI6I,49,59,train,0
air drumming,0lXH6VToEtQ,86,96,train,0
air drumming,0MqJuP01I80,8,18,train,0
air drumming,0PrB6nQjdNE,109,119,train,0
air drumming,0ShUcpOk0F0,40,50,train,0
air drumming,0S_RNaArlCc,2,12,train,0
air drumming,0t4U_zrvbYw,13,23,train,0
air drumming,0T7JI0q5HvE,27,37,train,0
answering questions,-riqtn_niK8,2,12,train,0
answering questions,0heRujNYUAw,12,22,train,0
answering questions,0hiu7IaIWds,30,40,train,0
answering questions,1a-1JWfZODM,585,595,train,0
answering questions,1lzpjFf3KN4,482,492,train,0
answering questions,2FDPZm3_ID8,3,13,train,0
answering questions,2K0bqbK1PWU,324,334,train,0
answering questions,2TcJ9pjrNCo,931,941,train,0
answering questions,2wG3dRYonNA,75,85,train,0
applauding,0Tq8uFakTbk,0,10,train,0
applauding,0XrsfW9ejfk,0,10,train,0
applauding,0YQrMye3BBY,0,10,train,0
applauding,1KJI7JyECJY,26,36,train,0
applauding,1UqN3hbK7x4,3,13,train,0
applauding,1WMulo84kBY,20,30,train,0
applauding,22lrrZEBECo,41,51,train,0
applauding,284joz_tEk0,7,17,train,0
applying cream,0AqWASz_kWs,98,108,train,0
applying cream,0D38Kt0QKxU,77,87,train,0
applying cream,0PgfOKP1Ow0,111,121,train,0
applying cream,0wzdr5YlJ1U,104,114,train,0
applying cream,13G_IvpaNw4,0,10,train,0
applying cream,13JOvlPkLNA,19,29,train,0
applying cream,1DPHExN1xQU,252,262,train,0
applying cream,1mAjYWlQIXs,24,34,train,0
applying cream,1XWHoo_-Zk0,62,72,train,0
applying cream,23t0tlA0IqM,203,213,train,0
archery,-R5E3-cmrq8,0,10,train,0
archery,-RZ9mL8wnJc,25,35,train,0
archery,-SqXDd4XIJM,32,42,train,0
archery,-U1ym96B9l4,10,20,train,0
archery,-WrKlvp_x_0,75,85,train,0
archery,-X2LRaGih1s,3,13,train,0
archery,01kR4-7DbN8,110,120,train,0
archery,01xStFVYC7U,11,21,train,0
archery,02CmwhByP5s,29,39,train,0
archery,03K5DawMTgg,0,10,train,0
archery,04aEKvl3yCM,27,37,train,0
archery,04RxZNFMPu0,52,62,train,0
archery,08b9nh7a3i8,13,23,train,0
archery,09QQcLIpiAM,483,493,train,0
archery,0cBPd-9EKeI,303,313,train,0
archery,0gp_HGyeBNY,3,13,train,0
archery,0HIBOvF_t6Q,84,94,train,0
archery,0iiZhWzZ9O8,693,703,train,0
archery,0jKJ_ZDiOCM,5,15,train,0
archery,0kPg9lA4i1c,99,109,train,0
archery,0m844gjEp7E,13,23,train,0
archery,0oMNrDyWUEo,2,12,train,0
archery,0otRfmuqZ-w,9,19,train,0
archery,0swIxczYQUE,98,108,train,1
archery,0w7jdXmsHsI,89,99,train,0
